종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"267290","경동도시가스","KOSPI",,"18640","-80","-0.43","18710","18890","18570","12701","236723680","109890367840","5895406"
"012320","경동인베스트","KOSPI",,"79800","-6300","-7.32","85500","86000","79800","30853","2535135000","188728835400","2365023"
"011040","경동제약","KOSDAQ","중견기업부","6150","-70","-1.13","6220","6240","6080","64631","396198560","189227910900","30768766"
"000050","경방","KOSPI",,"5840","-220","-3.63","6180","6230","5830","33098","198218990","160105176800","27415270"
"214390","경보제약","KOSPI",,"7440","0","0.00","0","0","0","0","0","177867038400","23906860"
"012610","경인양행","KOSPI",,"3115","-55","-1.74","3200","3205","3050","135447","420846775","129634976975","41616365"
"009140","경인전자","KOSPI",,"20600","-300","-1.44","20800","20800","20150","7480","152442500","32358418200","1570797"
"024910","경창산업","KOSDAQ","우량기업부","2175","45","2.11","2100","2395","2100","2325074","5261599595","77906335875","35819005"
"013580","계룡건설","KOSPI",,"13850","-100","-0.72","13870","13950","13610","26319","361133700","123693061950","8930907"
"012200","계양전기","KOSPI",,"1481","-24","-1.59","1503","1504","1469","31934","47144742","40317009749","27222829"
"012205","계양전기우","KOSPI",,"3800","-50","-1.30","3850","3850","3440","2630","9704620","4442500200","1169079"
"002140","고려산업","KOSPI",,"2385","-95","-3.83","2485","2485","2370","80555","193256895","59480528625","24939425"
"049720","고려신용정보","KOSDAQ","우량기업부","10320","-30","-0.29","10320","10450","10250","30413","313410830","147576000000","14300000"
"010130","고려아연","KOSPI",,"531000","-8000","-1.48","544000","551000","529000","20376","10967377000","10993443273000","20703283"
"002240","고려제강","KOSPI",,"18940","-200","-1.04","19090","19400","18790","43889","834878560","473500000000","25000000"
"014570","고려제약","KOSDAQ","우량기업부","4880","-260","-5.06","5110","5130","4875","45280","223194630","53680000000","11000000"
"348150","고바이오랩","KOSDAQ","기술성장기업부","6200","-270","-4.17","6470","6470","6190","102243","641000800","120117870000","19373850"
